Date,TSLA,NVDA,AMD,INTC
2024-03-13,169.47999572753906,90.84671020507812,194.7899932861328,42.78371810913086
2024-03-14,162.5,87.90404510498047,187.05999755859375,42.30867385864258
2024-03-15,163.57000732421875,87.79710388183594,191.05999755859375,42.199806213378906
2024-03-18,173.8000030517578,88.41481018066406,190.64999389648438,42.26908493041992
2024-03-19,171.32000732421875,89.35739135742188,181.4199981689453,41.61589813232422
2024-03-20,175.66000366210938,90.33094787597656,179.72999572753906,41.76435470581055
2024-03-21,172.82000732421875,91.3934555053711,178.67999267578125,41.98208236694336
2024-03-22,170.8300018310547,94.24616241455078,179.64999389648438,42.13053512573242
2024-03-25,172.6300048828125,94.9588394165039,178.6300048828125,41.39817428588867
2024-03-26,177.6699981689453,92.51895141601562,177.8699951171875,41.556522369384766
2024-03-27,179.8300018310547,90.20899963378906,179.58999633789062,43.318145751953125
2024-03-28,175.7899932861328,90.31495666503906,180.49000549316406,43.714012145996094
2024-04-01,175.22000122070312,90.32194519042969,183.33999633789062,44.060401916503906
2024-04-02,166.6300048828125,89.41136169433594,178.6999969482422,43.48638916015625
2024-04-03,168.3800048828125,88.92359161376953,180.77000427246094,39.913658142089844
2024-04-04,171.11000061035156,85.865966796875,165.8300018310547,39.31985092163086
2024-04-05,164.89999389648438,87.968017578125,170.4199981689453,38.31037902832031
2024-04-08,172.97999572753906,87.09341430664062,169.89999389648438,37.58791732788086
2024-04-09,176.8800048828125,85.3152084350586,170.77999877929688,37.93430709838867
2024-04-10,171.75999450683594,86.99945831298828,167.13999938964844,36.81596755981445
2024-04-11,174.60000610351562,90.5748291015625,170.5,37.24153137207031
2024-04-12,171.0500030517578,88.14592742919922,163.27999877929688,35.321556091308594
2024-04-15,161.47999572753906,85.96192932128906,160.32000732421875,35.935157775878906
2024-04-16,157.11000061035156,87.37528991699219,163.4600067138672,35.88566970825195
2024-04-17,155.4499969482422,83.996826171875,154.02000427246094,35.31166076660156
2024-04-18,149.92999267578125,84.63253021240234,155.0800018310547,34.67826843261719
2024-04-19,147.0500030517578,76.16539001464844,146.63999938964844,33.84694290161133
2024-04-22,142.0500030517578,79.48187255859375,148.63999938964844,34.054771423339844
2024-04-23,144.67999267578125,82.38555908203125,152.27000427246094,33.92611312866211
2024-04-24,162.1300048828125,79.64080047607422,151.74000549316406,34.14384078979492
2024-04-25,170.17999267578125,82.59446716308594,153.75999450683594,34.74754333496094
2024-04-26,168.2899932861328,87.69515991210938,157.39999389648438,31.55088996887207
2024-04-29,194.0500030517578,87.7171401977539,160.1999969482422,31.036256790161133
2024-04-30,183.27999877929688,86.36275482177734,158.3800048828125,30.155445098876953
2024-05-01,179.99000549316406,83.00326538085938,144.27000427246094,30.05647850036621
2024-05-02,180.00999450683594,85.77801513671875,146.16000366210938,30.195032119750977
2024-05-03,181.19000244140625,88.74866485595703,150.60000610351562,30.58100700378418
2024-05-06,184.75999450683594,92.09813690185547,155.77999877929688,30.774776458740234
2024-05-07,177.80999755859375,90.51286315917969,154.42999267578125,30.486604690551758
2024-05-08,174.72000122070312,90.37093353271484,153.6199951171875,29.81089210510254
2024-05-09,171.97000122070312,88.7066879272461,152.38999938964844,29.90032386779785
2024-05-10,168.47000122070312,89.83717346191406,151.9199981689453,29.66183853149414
2024-05-13,171.88999938964844,90.35794067382812,150.55999755859375,30.317676544189453
2024-05-14,177.5500030517578,91.31450653076172,153.16000366210938,30.854272842407227
2024-05-15,173.99000549316406,94.5870132446289,159.6699981689453,31.072887420654297
2024-05-16,174.83999633789062,94.31613159179688,162.6199951171875,31.828094482421875
2024-05-17,177.4600067138672,92.4369888305664,164.47000122070312,31.629356384277344
2024-05-20,174.9499969482422,94.73694610595703,166.3300018310547,31.897653579711914
2024-05-21,186.60000610351562,95.3426742553711,164.66000366210938,31.5399227142334
2024-05-22,180.11000061035156,94.9068603515625,165.52000427246094,31.221940994262695
2024-05-23,173.74000549316406,103.75184631347656,160.42999267578125,29.8903865814209
